itemID,comunaCode,locality,startDate,status,eomCount,givCount,serviceable,facility,deliveryType,availableEomOptions,availableGivOptions,PresentinEomnotGiv,PresentinGivnotEom
199532999,130106,13114,2025-03-04,identical,1,1,SERVICEABLE IN BOTH,29750,VEVCD,DELIVERY-HOME-SCHEDULED,DELIVERY-HOME-SCHEDULED,0,0
199533999,130106,13114,2025-03-04,identical,1,1,SERVICEABLE IN BOTH,29750,VEVCD,DELIVERY-HOME-SCHEDULED,DELIVERY-HOME-SCHEDULED,0,0
199537999,130106,13114,2025-03-04,identical,1,1,SERVICEABLE IN BOTH,29750,VEVCD,DELIVERY-HOME-SCHEDULED,DELIVERY-HOME-SCHEDULED,0,0
199540999,130106,13114,2025-03-04,identical,1,1,SERVICEABLE IN BOTH,29750,VEVCD,DELIVERY-HOME-SCHEDULED,DELIVERY-HOME-SCHEDULED,0,0
199580999,130106,13114,2025-03-04,differ,3,4,SERVICEABLE IN BOTH,123,STORE,DELIVERY-HOME-NEXT_DAY | COLLECT-IN_STORE-SCHEDULED | DELIVERY-HOME-SCHEDULED,DELIVERY-HOME-SCHEDULED | DELIVERY-HOME-NEXT_DAY | DELIVERY-HOME-SAME_DAY | COLLECT-IN_STORE-SCHEDULED,0,DELIVERY-HOME-SAME_DAY
199581999,130106,13114,2025-03-04,identical,1,1,SERVICEABLE IN BOTH,29750,VEVCD,DELIVERY-HOME-SCHEDULED,DELIVERY-HOME-SCHEDULED,0,0
199583999,130106,13114,2025-03-04,identical,5,5,SERVICEABLE IN BOTH,100,CD,DELIVERY-HOME-NEXT_DAY | COLLECT-IN_STORE-SCHEDULED | COLLECT-COPEC-SCHEDULED | DELIVERY-HOME-SAME_DAY | DELIVERY-HOME-SCHEDULED,DELIVERY-HOME-SCHEDULED | DELIVERY-HOME-NEXT_DAY | DELIVERY-HOME-SAME_DAY | COLLECT-COPEC-SCHEDULED | COLLECT-IN_STORE-SCHEDULED,0,0
199584999,130106,13114,2025-03-04,identical,1,1,SERVICEABLE IN BOTH,29750,VEVCD,DELIVERY-HOME-SCHEDULED,DELIVERY-HOME-SCHEDULED,0,0
199602999,130106,13114,2025-03-04,identical,1,1,SERVICEABLE IN BOTH,29750,VEVCD,DELIVERY-HOME-SCHEDULED,DELIVERY-HOME-SCHEDULED,0,0
199607999,130106,13114,2025-03-04,identical,1,1,SERVICEABLE IN BOTH,29750,VEVCD,DELIVERY-HOME-SCHEDULED,DELIVERY-HOME-SCHEDULED,0,0
